time_ms,spike_rate_hz,calcium_proxy
25.0,47.35632183908046,63.27075431858009
75.0,143.67816091954023,245.51977729495763
125.0,163.5632183908046,426.3578186457531
175.0,169.6551724137931,587.5731147920902
225.0,181.95402298850576,740.4708845005795
275.0,169.19540229885058,852.8498054194212
325.0,110.91954022988506,870.1166236782062
375.0,57.81609195402299,813.7834258609258
425.0,21.95402298850575,718.1846282889087
475.0,19.195402298850574,633.5763182138298
525.0,24.137931034482758,568.5604310189188
575.0,31.03448275862069,522.7398582030004
625.0,23.333333333333332,473.6644046239347
675.0,16.7816091954023,423.36945188252065
725.0,16.551724137931036,380.4885539486059
775.0,15.172413793103448,342.3478199962227
825.0,15.172413793103448,310.06238573161534
875.0,16.436781609195403,284.4226233588572
925.0,15.057471264367816,260.87619557535487
975.0,16.7816091954023,243.24812165069426
1025.0,16.20689655172414,227.5584302682714
1075.0,17.586206896551722,216.12023074830134
1125.0,23.448275862068964,214.27006328279896
1175.0,32.758620689655174,225.14308349013038
1225.0,53.9080459770115,262.60373812451434
1275.0,66.55172413793103,311.20617479885203
1325.0,77.01149425287356,366.3221003040525
1375.0,84.94252873563218,423.57303964507906
1425.0,78.50574712643679,463.4350051760973
1475.0,74.82758620689656,492.26319717119145
1525.0,63.2183908045977,501.15518586110244
1575.0,46.0919540229885,485.800192771773
1625.0,38.275862068965516,462.35972587742765
1675.0,29.080459770114942,430.2322156656298
1725.0,25.862068965517242,398.7369112281154
1775.0,22.75862068965517,367.93032721693766
1825.0,17.586206896551722,334.94247620357595
1875.0,12.528735632183908,300.26179232779367
1925.0,11.954022988505747,270.1373782600586
1975.0,13.218390804597702,246.32687999107236
2025.0,23.103448275862068,239.37873046087932
2075.0,27.471264367816094,239.33290095910837
2125.0,35.40229885057471,249.89042277384027
2175.0,36.32183908045977,260.05573038642785
2225.0,36.7816091954023,269.2747566765163
2275.0,42.758620689655174,285.06412313820243
2325.0,45.05747126436781,301.5009291363283
2375.0,44.02298850574713,314.03225690099583
2425.0,52.64367816091954,336.13630627154225
2475.0,49.42528735632184,350.50385474880864
2525.0,52.64367816091954,366.956763715087
2575.0,51.95402298850575,379.9597013270401
2625.0,49.08045977011494,387.1216932734842
2675.0,49.310344827586206,393.4970465328199
2725.0,44.02298850574713,391.8555752044249
2775.0,43.9080459770115,390.33633075078444
2825.0,36.7816091954023,379.54506425985505
2875.0,34.59770114942529,367.49386474441064
2925.0,31.95402298850575,353.7584241469442
2975.0,28.620689655172413,337.67500971328184
3025.0,29.195402298850574,324.8319939155638
3075.0,29.080459770114942,313.80998242306083
3125.0,29.310344827586206,304.7872937410455
3175.0,32.18390804597701,300.989615666339
3225.0,28.850574712643677,293.32142661005577
3275.0,32.06896551724138,291.12983220171066
3325.0,37.47126436781609,296.4930860154494
3375.0,44.827586206896555,310.860676291104
3425.0,50.229885057471265,330.24061670045495
3475.0,42.758620689655174,336.6627274010274
3525.0,36.666666666666664,333.95710040318465
3575.0,33.44827586206897,327.362709547143
3625.0,30.919540229885058,318.39266366155505
3675.0,35.632183908045974,317.0903783595652
3725.0,41.839080459770116,324.2760983804818
3775.0,39.770114942528735,327.59086813383726
3825.0,45.172413793103445,337.61742532579217
3875.0,47.01149425287356,348.56348796655084
3925.0,47.12643678160919,357.9879029530226
3975.0,41.37931034482759,358.29468442706116
